id	text	title
766	Both satellites were discovered in 1877 by Asaph Hall and are named after the characters Phobos (panic/fear) and Deimos (terror/dread) who, in Greek mythology , accompanied their father Ares , god of war, into battle.	Moons of Mars
767	In law enforcement parlance, the term murder book refers to the case file of a murder investigation.	Murder book
768	She is a retired professor with the History of Consciousness Department at the University of California, Santa Cruz , and is the former director of the university's Feminist Studies department.	Angela Davis
769	Love Always is the debut album of American R&B duo K-Ci & JoJo , released on June 17, 1997, by MCA Records .	Love Always
770	West Side Story is an American musical with a book by Arthur Laurents , music by Leonard Bernstein , lyrics by Stephen Sondheim , and conception and choreography by Jerome Robbins .	West Side Story
771	Sirhan Sirhan , a 24-year-old Palestinian / Jordanian immigrant , was convicted of Kennedy's murder and is serving a life sentence for the crime.	Assassination of Robert F. Kennedy
772	"The film raises the question ""Can men and women ever just be friends?"" and advances many ideas about relationships that became household concepts, such as those of the """" girlfriend and the ""transitional person""."	When Harry Met Sally...
773	It is made by General Mills .	Hamburger Helper
774	A dwarf planet is a planetary-mass object that is neither a planet nor a satellite .	Dwarf planet
775	More explicitly, the International Astronomical Union (IAU) defines a dwarf planet as a celestial body in direct orbit of the Sun that is massive enough for its shape to be controlled by gravitation , but that unlike a planet has not cleared its orbital region of other objects.	Dwarf planet
776	"Francois Henri ""Jack"" LaLanne (September 26, 1914 - January 23, 2011) was an American fitness , exercise , and nutritional expert and motivational speaker who is sometimes called ""the godfather of fitness"" and the ""first fitness superhero."""	Jack LaLanne
777	The Care Bears are characters created by American Greetings in 1981 for use on greeting cards .	Care Bears
778	Interstate 70 (I-70) is an Interstate Highway in the United States that runs from Interstate 15 near Cove Fort, Utah , to a Park and Ride near Baltimore, Maryland .	Interstate 70
779	"As seen from the Earth , a solar eclipse occurs when the Moon passes between the Sun and Earth, and the Moon fully or partially blocks ("" occults "") the Sun."	Solar eclipse
780	The mango is native to South Asia , from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics .	Mango
781	It currently (Year 2013) lies at 23° 26′ 15.143′′ north of the Equator.	Tropic of cancer
782	Discs using the DVD-Video specification require a DVD drive and an H.262/MPEG-2 Part 2 decoder (e.g., a DVD player, or a computer DVD drive with a software DVD player).	DVD-Video
783	The United States Postal Service (USPS), also known as the Post Office and U.S. Mail, is an independent agency of the United States federal government responsible for providing postal service in the United States.	United States Postal Service
784	Washington, D.C. has been the capital of the United States since 1800.	List of capitals in the United States
785	The face-up shape of the princess cut is square or rectangular and the profile or side-on shape is similar to that of an inverted pyramid with four beveled sides.	Princess cut
786	The Monte Carlo SS was revived from 2000 to 2007 and initially powered by 3.8-liter V6 (supercharged in 2004–2005), later to be replaced by a 5.3-liter V8 for 2006–2007.	Chevrolet Monte Carlo
787	Scottsdale ( O'odham Vaṣai S-vaṣonĭ; Yaqui Eskatel) is a city in the eastern part of Maricopa County, Arizona , United States , adjacent to Phoenix .	Scottsdale, Arizona
788	Following a high-profile relationship with actress Gwyneth Paltrow , Pitt was married to actress Jennifer Aniston for five years.	Brad Pitt
789	The domestic dog (Canis lupus familiaris) is a subspecies of the gray wolf (Canis lupus), a member of the Canidae family of the mammalian order Carnivora .	Dog
790	"John Fitzgerald ""Jack"" Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK, was the 35th President of the United States , serving from 1961 until his death in 1963."	John F. Kennedy
791	Often referred to as Popeyes and sometimes as Popeyes Chicken & Biscuits or Popeyes Chicken & Seafood, It was acquired by Sandy Springs, Georgia -based AFC Enterprises , originally America's Favorite Chicken Company, in 1993.	Popeyes Louisiana Kitchen
792	Wendy Williams Hunter (born Wendy Joan Williams; July 18, 1964) is an American media personality , actress and author.	Wendy Williams
793	"Patrick Henry ""Treason"" speech before the House of Burgesses in an 1851 painting by Peter F. Rothermel"	Give me Liberty, or give me Death!
794	Give me liberty, or give me death! is a quotation attributed to Patrick Henry from a speech he made to the Virginia Convention .	Give me Liberty, or give me Death!
795	Roosevelt, Jr. ( ; October 27, 1858—January 6, 1919) was the 26th President of the United States (1901–1909).	Theodore Roosevelt
796	The show stars Emmanuel Lewis in the title role as a young boy who, after losing his parents, is adopted by his NFL -pro godfather, portrayed by Alex Karras , and his new socialite wife, played by Susan Clark .	Webster (TV series)
797	Four of the nation's five most popular team sports were developed in North America: American football , baseball , basketball and ice hockey , whereas soccer was developed in England.	Sports in the United States
798	The four Major leagues in the United States are the National Basketball Association (NBA), National Football League (NFL), Major League Baseball (MLB), the National Hockey League (NHL); all enjoy massive media exposure and are considered the preeminent competitions in their respective sports in the world.	Sports in the United States
799	A monarchy is a form of government in which sovereignty is actually or nominally embodied in a single individual (the monarch ).	Monarchy
800	"A newton metre is a unit of torque (also called "" moment "") in the SI system."	Newton metre
801	Acute disseminated encephalomyelitis (ADEM) is an immune mediated disease of the brain .	Acute disseminated encephalomyelitis
802	It usually occurs following a viral infection but may appear following vaccination , bacterial or parasitic infection, or even appear spontaneously.	Acute disseminated encephalomyelitis
803	John Adams (October 30, 1735 ( O.S. October 19, 1735) – July 4, 1826) was the second president of the United States (1797–1801), having earlier served as the first vice president of the United States .	John Adams
804	"Bing (known previously as Live Search, Windows Live Search, and MSN Search) is a web search engine (advertised as a "" decision engine "") from Microsoft ."	Bing
805	The HST was built by the United States space agency NASA , with contributions from the European Space Agency , and is operated by the Space Telescope Science Institute .	Hubble Space Telescope
806	Anti-inflammatory refers to the property of a substance or treatment that reduces inflammation .	Anti-inflammatory
807	Mama Told Me (Not to Come) is a song by Randy Newman written for Eric Burdon 's first solo album in 1966.	Mama Told Me Not to Come
808	Pronounced was an ocean liner for the Italian Line (Società di navigazione Italia) home ported in Genoa , Italy, most famous for its sinking in 1956, when 52 people died (51 from immediate impact).	SS Andrea Doria
809	Dialysis tubing is a type of semi- or partially permeable membrane tubing made from regenerated cellulose or cellophane .	Dialysis tubing
810	The Statue of Liberty (Liberty Enlightening the World; French: La Liberté éclairant le monde) is a neoclassical sculpture on Liberty Island in New York Harbor , designed by Frédéric Bartholdi and dedicated on October 28, 1886.	Statue of Liberty
811	AM-2201 (1-(5-fluoropentyl)-3-(1-naphthoyl)indole) is a research chemical that acts as a potent but nonselective full agonist for the cannabinoid receptor .	AM-2201
812	"Paul the Apostle and ""Timothy our brother"" wrote this epistle to ""the church of God which is at Corinth , with all the saints which are in all Achaia ""."	Second Epistle to the Corinthians
813	Heroin (diacetylmorphine or morphine diacetate ( INN )), also known as diamorphine ( BAN ), and colloquially as H, smack, horse, brown, black, tar, and other names, is an opioid analgesic synthesized by C.R. Alder Wright in 1874 by adding two acetyl groups to the molecule morphine , found in the opium poppy .	Heroin
814	George Washington ( – , 1799) was the first President of the United States (1789–1797), the commander-in-chief of the Continental Army during the American Revolutionary War , and one of the Founding Fathers of the United States .	George Washington
815	He retired from the presidency in 1797 and returned to his home, Mount Vernon , and his domestic life where he managed a variety of enterprises.	George Washington
816	A wiki ( ) is a website which allows its users to add, modify, or delete its content via a web browser usually using a simplified markup language or a rich-text editor .	Wiki
817	The Four Thirds system is a standard created by Olympus and Kodak for digital single-lens reflex camera (DSLR) design and development.<ref name='DPReview.com 2001-02-13'>	Four Thirds system
818	After Harris' death, Michael Gambon portrayed Dumbledore for all of the remaining films.	Albus Dumbledore
819	A savanna, or savannah, is a grassland ecosystem characterized by the trees being sufficiently widely spaced so that the canopy does not close.	Savanna
820	Nature Boy is a song by Eden Ahbez , published in 1947.	Nature Boy
821	Stefka Kostadinova ( Bulgaria ) has held the women's world record at since 1987, also the longest-held record in the event.	High jump
822	The launch of the PlayStation 3 into the Japanese market on 10 November 2006 marked the second major seventh generation entertainment system to be released.	PlayStation 3 launch
823	Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .	Black pepper
824	Black pepper is native to south India , and is extensively cultivated there and elsewhere in tropical regions.	Black pepper
825	Currently Vietnam is the world's largest producer and exporter of pepper, producing 34% of the world's Piper nigrum crop as of 2008.	Black pepper
826	Stingrays are common in coastal tropical and subtropical marine waters throughout the world, and also includes species found in warmer temperate oceans, such as Dasyatis thetidis , and those found in the deep ocean , such as Plesiobatis daviesi .	Stingray
827	Cocaine is a song written and recorded by JJ Cale in 1976, but also known as a cover version recorded by Eric Clapton .	Cocaine (song)
828	The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan).	Attack on Pearl Harbor
829	The continent's various populations and individuals are mostly adherents of Christianity or Islam .	Religion in Africa
830	The winning designer, Chloe Dao , received $100,000 in seed money to help launch her own line, a 2007 Saturn Sky roadster, a spread in ELLE magazine, and a mentorship with the Banana Republic Design Team.	Project Runway (season 2)
831	The Miami Marlins began play in the 1993 season as the Florida Marlins.	Miami Marlins
832	In numismatics , a mule is a coin or medal minted with obverse and reverse designs not normally seen on the same piece.	Mule (coin)
833	The Dungeness crab, Metacarcinus magister (formerly Cancer magister), is a species of crab that inhabits eelgrass beds and water bottoms on the west coast of North America .	Dungeness crab
834	Mary Poppins is a 1964 musical film starring Julie Andrews , Dick Van Dyke , David Tomlinson , and Glynis Johns , produced by Walt Disney , and based on the Mary Poppins books series by P. L. Travers .	Mary Poppins (film)
835	A story arc is an extended or continuing storyline in episodic storytelling media such as television , comic books , comic strips , boardgames , video games , and in some cases, films .	Story arc
836	The Bible has been translated into many languages from the biblical languages of Hebrew , Aramaic and Greek .	Bible translations
837	The full Bible has been translated into 518 languages, and 2798 languages have at least some portion of the Bible.	Bible translations
838	Black Friday is the day following Thanksgiving Day in the United States , often regarded as the beginning of the Christmas shopping season.	Black Friday (shopping)
839	This was taken to a new extreme in 2011, when several retailers (including Target , Kohl's , Macy's , Best Buy , and Bealls ) opened at midnight for the first time.	Black Friday (shopping)
840	In 2012, Walmart and several other retailers announced that they would open most of their stores at 8:00 p.m. on Thanksgiving Day (except in states where opening on Thanksgiving is prohibited due to blue laws , such as Massachusetts where they still opened around midnight), prompting calls for a walkout among some workers.	Black Friday (shopping)
841	It was first recorded by Louis Armstrong and released as a single in 1967.	What a Wonderful World
842	"The day a presidential inauguration occurs is known as ""Inauguration Day"" and occurs on January 20 (or 21st if the 20th is a Sunday)."	United States presidential inauguration
843	Justinian I () (, ) (c. 482 – 14 November 565), commonly known as Justinian the Great, was Byzantine Emperor from 527 to 565.	Justinian I
844	Elizabeth Cady Stanton (November 12, 1815 – October 26, 1902) was an American social activist , abolitionist, and leading figure of the early women's rights movement .	Elizabeth Cady Stanton
845	Her Declaration of Sentiments , presented at the first women's rights convention held in 1848 in Seneca Falls , New York , is often credited with initiating the first organized women's rights and women's suffrage movements in the United States.	Elizabeth Cady Stanton
846	The Boston Bruins Radio Network is a 25-station (17 A.M., 8 F.M. plus 2 F.M. translators) CBS Radio network which carries live game broadcasts of the Boston Bruins .	Boston Bruins Radio Network
847	The network's flagship station is WBZ-FM /98.5- Boston, Massachusetts .	Boston Bruins Radio Network
848	"DRGs have been used in the US since 1982 to determine how much Medicare pays the hospital for each ""product"", since patients within each category are clinically similar and are expected to use the same level of hospital resources."	Diagnosis-related group
849	Ethnicity or ethnic group is a socially defined category based on common culture or nationality .	Ethnic group
850	Ethnicity can, but does not have to, include common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor.	Ethnic group
851	Ethnic identity is constantly reinforced through common characteristics which set the group apart from other groups.	Ethnic group
852	The Appalachian National Scenic Trail, generally known as the Appalachian Trail or simply the A.T., is a marked hiking trail in the eastern United States extending between Springer Mountain in Georgia and Mount Katahdin in Maine .	Appalachian Trail
853	Plug-in (computing) , a piece of software which enhances another software application and usually cannot be run independently	Add-on
854	Browser extension , which modifies the interface and/or behavior of web browsers	Add-on
855	Add-on (Mozilla) , a piece of software that enhances and customizes Mozilla-based applications	Add-on
856	Add-ons for Firefox (addons.mozilla.org), the official Mozilla Foundation web site which serves as a repository of add-ons for Mozilla-based applications	Add-on
857	Peripheral , an optional computer hardware component that significantly supplements or enhances the functionality of the original unit	Add-on
858	Video game accessory , a piece of hardware used in conjunction with a video game console for playing video games	Add-on
859	A deliverable could be a report, a document, a server upgrade or any other building block of an overall project.	Deliverable
860	They are usually right next to the Luxury Boxes , either right above, right below, or sandwiched between two levels of Luxury Boxes.	Club seating
861	Club Level seating is considered as higher class than sitting anywhere else in the arena, but lower class compared to the Luxury Boxes.	Club seating
862	The Oprah Winfrey Leadership Academy for Girls - South Africa is a female boarding school founded in January 2007 and located in Henley on Klip near Meyerton , south of Johannesburg , South Africa .	Oprah Winfrey Leadership Academy for Girls
863	Scott Pilgrim vs. the World is a 2010 American comedy film directed by Edgar Wright , based on the graphic novel series Scott Pilgrim by Bryan Lee O'Malley .	Scott Pilgrim vs. the World
864	A googol is the large number 10100; that is, the digit 1 followed by 100 zeroes :	Googol
865	In chemistry , a disulfide bond (Br.E. disulphide bond) is a covalent bond , usually derived by the coupling of two thiol groups .	Disulfide bond
866	In United States college athletics , redshirt is a delay or suspension of an athlete's participation in order to lengthen his or her period of eligibility.	Redshirt (college sports)
867	It has a form of government characterized by single-party rule or dominant-party rule of a communist party (referred as Dictatorship of the Proletariat by its proponents) and a professed allegiance to a Leninist or Marxist–Leninist ideology as the guiding principle of the state.	Communist state
868	Skittles is a brand of fruit-flavoured sweets , currently produced and marketed by the Wm. Wrigley Jr. Company , a division of Mars, Inc.	Skittles (confectionery)
869	The side has been playing international rugby since 1891, when a British Isles side toured the nation, playing South Africa in their first Test on 30 July.	South Africa national rugby union team
870	An academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level.	List of academic disciplines
871	Disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong.	List of academic disciplines
872	Kennedy defeated Vice President and Republican candidate Richard Nixon in the 1960 U.S. presidential election .	John F. Kennedy
873	"Stand by Me is a song originally performed by Ben E. King and written by King, Jerry Leiber , and Mike Stoller , inspired by the spiritual ""Lord Stand by Me,"" plus two lines rooted in Psalms 46:2–3."	Stand by Me (song)
874	A metaphor is a figure of speech that describes a subject by asserting that it is, on some point of comparison, the same as another otherwise unrelated object.	Metaphor
875	Metaphor is a type of analogy and is closely related to other rhetorical figures of speech that achieve their effects via association, comparison or resemblance including allegory , hyperbole , and simile .	Metaphor
876	After months of rumors, on April 18, 2013, Showtime announced via social media that season eight would be the final season of Dexter.	Dexter (TV series)
877	Context-dependent memory refers to improved recall of specific episodes or information when the context present at encoding and retrieval are the same.	Context-dependent memory
878	Il Divo is a group of four male singers: French pop singer Sébastien Izambard , Spanish baritone Carlos Marín , American tenor David Miller , and Swiss tenor Urs Bühler .	Il Divo
879	The tournament was won by France , who beat Brazil 3–0 in the final.	1998 FIFA World Cup
880	More than sixty percent of Vietnamese Americans reside in the states of California , Texas , Washington , Florida , and Virginia .	Vietnamese American
881	"This article focuses on the human menstrual cycle, a ""monthly"" cycle that can vary around an average of ~28 days per cycle."	Menstrual cycle
882	Adolf Hitler committed suicide by gunshot on 30 April 1945 in his Führerbunker in Berlin.	Death of Adolf Hitler
883	World War II (WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945.	World War II
884	A limited liability company (LLC) is a flexible form of enterprise that blends elements of partnership and corporate structures.	Limited liability company
885	An LLC is a legal form of company that provides limited liability to its owners in the vast majority of United States jurisdictions.	Limited liability company
886	K-Cup portion packs are used with Keurig or other single cup brewing systems to brew a cup of coffee , tea , or hot chocolate .	K-Cup
887	A chronograph is a specific type of watch that is used as a stopwatch combined with a display watch.	Chronograph
888	Conventional PCI (PCI is an initialism formed from Peripheral Component Interconnect, part of the PCI Local Bus standard and often shortened to just PCI) is a local computer bus for attaching hardware devices in a computer .	Conventional PCI
889	The 76ers won the series over the Warriors, 4-2.	1967 NBA Finals
890	Airbus SAS (, , , ) is an aircraft manufacturing subsidiary of EADS , a European aerospace company.	Airbus
891	The earliest proposal was in 1908, in a paper by A. A. Campbell-Swinton and postulated the use of cathode rays.	History of television
892	Early symptoms may include fever , headache , fatigue , depression , and a characteristic circular skin rash called erythema migrans (EM).	Lyme disease
893	Left untreated, later symptoms may involve the joints, heart, and central nervous system .	Lyme disease
894	Deep Blue Sea is a 1999 science fiction horror film that stars Saffron Burrows , Thomas Jane , LL Cool J , Michael Rapaport , Stellan Skarsgård and Samuel L. Jackson .	Deep Blue Sea
895	The film was directed by Renny Harlin and was released in the United States on July 28, 1999.	Deep Blue Sea
896	The music of Star Wars consists of the scores written for all six Star Wars films by composer John Williams from 1977 to 1983 for the Original Trilogy , and 1999 to 2005 for the Prequel Trilogy .	Star Wars music
897	Artists and repertoire (A&R) is the division of a record label or music publishing company that is responsible for talent scouting and overseeing the artistic development of recording artists and/or songwriters.	Artists and repertoire
898	A furlong is a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile , equivalent to 220 yards , 660 feet , 40 rods , or 10 chains .	Furlong
899	He lives in Massachusetts with his wife and two children.	Ray lamontagne
900	When the Wind Blows is a novel by James Patterson .	When the Wind Blows (James Patterson novel)
901	It was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes .	Facebook
902	The seven gifts of the Holy Spirit is an enumeration of seven spiritual gifts originating with patristic authors, later elaborated by five intellectual virtues and four other groups of ethical characteristics.	Seven gifts of the Holy Spirit
903	They are: wisdom, understanding, wonder and awe (fear of the Lord) , counsel, knowledge, fortitude, and piety (reverence).	Seven gifts of the Holy Spirit
904	Iodine is found on Earth mainly as the highly water-soluble iodide ion, I−, which concentrates it in oceans and brine pools .	Iodine
905	Lobbying (also lobby) is the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies .	Lobbying
906	Lobbying is done by many different types of people and organized groups, including individuals in the private sector , corporations , fellow legislators or government officials, or advocacy groups (interest groups).	Lobbying
907	Skins is a British teen drama that follows the lives of a group of teenagers in Bristol , South West England , through the two years of sixth form .	Skins (UK TV series)
908	Cream were a 1960s British rock supergroup consisting of bassist/vocalist Jack Bruce , guitarist/vocalist Eric Clapton , and drummer Ginger Baker .	Cream (band)
909	The purchase of the territory of Louisiana took place during the presidency of Thomas Jefferson .	Louisiana Purchase
910	Cool Jerk is a popular song written by Donald Storball and originally performed by The Capitols .	Cool Jerk
911	"In the context of nautical distances, the 3 mile (4.8 km) distance corresponds to how far an observer of average height (5'9"" or 1.78 m) can see when standing at sea level."	League (unit)
912	"Kristen Mary ""Kris"" Jenner (née Houghton, previously Kardashian; born November 5, 1955) is an American socialite, author and television personality."	Kris Jenner
913	It was released to the public on March 14, 2011.	Internet Explorer 9
914	First used to denote national affiliations, the term began to be used to relate to physical traits in the 17th century.	Race (human classification)
915	Lucy Stone (August 13, 1818 – October 19, 1893) was a prominent American abolitionist and suffragist , and a vocal advocate and organizer promoting rights for women .	Lucy Stone
916	In finance , a bond is an instrument of indebtedness of the bond issuer to the holders.	Bond (finance)
917	Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders).	Bond (finance)
918	The lower circumference of the lesser pelvis is very irregular; the space enclosed by it is named the inferior aperture or pelvic outlet.	Pelvic outlet
919	As of 2010, electrocution is an optional form of execution in Alabama , Florida , South Carolina and Virginia .	Electric chair
920	Private label products or services are typically those manufactured or provided by one company for offer under another company's brand .	Private label
921	The Liberation of Paris (also known as the Battle for Paris) took place during World War II from 19 August 1944 until the surrender of the occupying German garrison on 25 August.	Liberation of Paris
922	"Feelin' Alright? also known as ""Feeling Alright"" is a song written by Dave Mason of the English rock band Traffic from their eponymous 1968 album, Traffic ."	Feelin' Alright
923	A neural pathway, neural tract, or neural face, connects one part of the nervous system with another and usually consists of bundles of elongated, myelin -insulated neurons , known collectively as white matter .	Neural pathway
924	Carter Godwin Woodson (December 19, 1875April 3, 1950) was an African-American historian , author , journalist and the founder of the Association for the Study of African American Life and History .	Carter G. Woodson
925	Loan origination is the process by which a borrower applies for a new loan , and a lender processes that application.	Loan origination
926	Loan origination is a specialized version of new account opening for financial services organizations.	Loan origination
927	The New Deal was a series of economic programs enacted in the United States between 1933 and 1936.	New Deal
928	I Don't Want to Miss a Thing is a song performed by American rock band Aerosmith for the 1998 film Armageddon .	I Don't Want to Miss a Thing
929	The modern idea of daylight saving was first proposed in 1895 by George Vernon Hudson and it was first implemented during the First World War .	Daylight saving time
930	The town is located about south of Paris and east of Orléans in the Gâtinais .	Montargis
931	It was written in stages between 1937 and 1949, much of it during World War II .	The Lord of the Rings
932	Camping suggested that it would occur at 6 pm local time, with the rapture sweeping the globe time zone by time zone, while some of his supporters claimed that around 200 million people (approximately 3% of the world's population) would be 'raptured'.	2011 end times prediction
933	In computing , a file system (or filesystem) is a type of data store which can be used to store, retrieve and update a set of files .	File system
934	Triumph Engineering Co Ltd, a defunct British motorcycle manufacturer	Triumph Motorcycles
935	Triumph Motorcycles Ltd , a current British motorcycle manufacturer	Triumph Motorcycles
936	"Abroad, Taft sought to further the economic development of nations in Latin America and Asia through "" Dollar Diplomacy "", and showed decisiveness and restraint in response to revolution in Mexico ."	William Howard Taft
937	A cooling bath, in laboratory chemistry (often but not always organic chemistry ) practice, is a liquid mixture which is used to maintain low temperatures, typically between 13 °C and −196 °C.	Cooling bath
938	In January 1863 President Lincoln freed slaves in the Confederacy through the Emancipation Proclamation .	Slavery in the United States
939	After the war, the Thirteenth Amendment , effective December 1865, abolished slavery throughout the entire United States, including the Border states and the Indian territories.	Slavery in the United States
940	"The word xylem is derived from the Greek word ξύλον (xylon), meaning ""wood""; the best-known xylem tissue is wood , though it is found throughout the plant."	Xylem
941	The TI-82 is a graphing calculator made by Texas Instruments .	TI-82
942	The TI-82 was designed in 1993 as a stripped down, more user friendly version of the TI-85 , and as a replacement for the TI-81 .	TI-82
943	The United States of America (USA or U.S.A.), commonly called the United States (US or U.S.) or America, is a federal republic consisting of fifty states and a federal district .	United States
944	The lower forty-eight contiguous states and the federal district of Washington, D.C. are in central North America between Canada and Mexico.	United States
945	The state of Alaska is west of Canada and east of Russia across the Bering Strait, and the state of Hawaii is in the mid-North Pacific.	United States
946	The country also has five populated and nine unpopulated territories in the Pacific and the Caribbean.	United States
947	In astronomy, the circumpolar constellations are constellations that never set from the viewer's perspective.	Circumpolar constellation
948	Numerous wild relatives occur in Africa and a smaller number in India.	Sesame
949	It is named after the Kansas River which flows through it, which in turn was named after the Kansa Native American tribe, which inhabited the area.	Kansas
950	They lived in the tropical lowlands of south-central Mexico, in the modern-day states of Veracruz and Tabasco .	Olmec
951	As of May 2013, ten states— Connecticut , Iowa , Maine , Maryland , Massachusetts , New Hampshire , New York , Rhode Island , Vermont , and Washington —as well as the District of Columbia and three Native American tribes —have legalized same-sex marriage, representing 16.1% of the U.S. population.	Same-sex marriage in the United States
952	Thomas Jefferson (April 13, 1743 (April 2, 1743 O.S. ) – July 4, 1826) was an American Founding Father , the principal author of the Declaration of Independence (1776) and the third President of the United States (1801–1809).	Thomas Jefferson
953	Elected president in what Jefferson called the Revolution of 1800 , he oversaw the purchase of the vast Louisiana Territory from France (1803), and sent the Lewis and Clark Expedition (1804–1806) to explore the new west.	Thomas Jefferson
954	Sun City is a 1985 protest song written by Steven Van Zandt , produced by Van Zandt and Arthur Baker and recorded by Artists United Against Apartheid to convey opposition to the South African policy of apartheid .	Sun City (song)
955	Bill Russell won 11 championships with the Boston Celtics .	List of NBA players with most championships
956	It is usually considered to be first attested to around 1475, but it may be considerably older.	Fuck
957	They are generally identified by convention rather than any strict criteria, with up to seven regions commonly regarded as continents—they are (from largest in size to smallest): Asia , Africa , North America , South America , Antarctica , Europe , and Australia .	Continent
958	Milwaukee is the largest city in the U.S. state of Wisconsin , the 28th most populous city in the United States , and 39th most populous region in the United States.	Milwaukee
959	Hallelujah is a song written by Canadian singer-songwriter Leonard Cohen , originally released on his album Various Positions (1984).	Hallelujah (Leonard Cohen song)
960	A garnishment is a means of collecting a monetary judgment against a defendant by ordering a third party (the garnishee) to pay money, otherwise owed to the defendant , directly to the plaintiff .	Garnishment
961	The 18th century lasted from January 1, 1701 to December 31, 1800 in the Gregorian calendar .	18th century
962	Erected in 1889 as the entrance arch to the 1889 World's Fair , it has become both a global cultural icon of France and one of the most recognizable structures in the world.	Eiffel Tower
963	The earliest known design was by the American, Elizabeth Magie , patented in 1904 but existing as early as 1902.	History of the board game Monopoly
964	land lot , a piece of land;	Parcel
965	Minnesota () is a U.S. state located in the Midwestern United States .	Minnesota
966	Naturally occurring cobalt (Co) is composed of 1 stable isotope , 59Co. 28 radioisotopes have been characterized with the most stable being 60Co with a half-life of 5.2714 years, 57Co with a half-life of 271.79 days, 56Co with a half-life of 77.27 days, and 58Co with a half-life of 70.86 days.	Isotopes of cobalt
967	"It describes change in one's work and life, and four typical reactions to said change by two mice and two ""littlepeople"", during their hunt for cheese ."	Who Moved My Cheese?
968	Khrushchev's party colleagues removed him from power in 1964, replacing him with Leonid Brezhnev as First Secretary and Alexei Kosygin as Premier.	Nikita Khrushchev
969	"A mnemonic (, with a silent ""m""), or mnemonic device, is any learning technique that aids information retention."	Mnemonic
970	President Bush signing the No Child Left Behind Act at Hamilton H.S. in Hamilton, Ohio .	No Child Left Behind Act
971	She was charged with first degree murder in October 2008 and pled not guilty.	Death of Caylee Anthony
972	A surveyor's wheel, also called a clickwheel, hodometer, waywiser, trundle wheel , measuring wheel, or perambulator is a device for measuring distance.	Surveyor's wheel
973	On 28 July, the Austro-Hungarians fired the first shots of the war as preparation for the invasion of Serbia .	World War I
974	Spiders ( order Araneae) are air-breathing arthropods that have eight legs and chelicerae with fangs that inject venom .	Spider
975	Girls Just Want to Have Fun is a 1979 song originally written by Robert Hazard and made famous by singer Cyndi Lauper .	Girls Just Want to Have Fun
976	Defibrillation is a common treatment for life-threatening cardiac dysrhythmias , ventricular fibrillation , and pulseless ventricular tachycardia .	Defibrillation
977	It was founded as the Charles Koch Foundation in 1974 by Murray Rothbard , Ed Crane and Charles Koch , chairman of the board and chief executive officer of the conglomerate Koch Industries, Inc. .	Cato Institute
978	Matches are played between two teams of seven players riding flying broomsticks, using four balls and six elevated ring-shaped goals, three on each side of the Quidditch pitch (field).	Quidditch
979	A Little More Country Than That is the title of a song written by Joey + Rory 's Rory Lee Feek , Wynn Varble , and Don Poythress, and recorded by American country artist Easton Corbin .	A Little More Country Than That
980	The BlackBerry is a line of wireless handheld devices and services designed and marketed by Research In Motion Limited (RIM) operating as BlackBerry .	BlackBerry
981	In economics , the demand curve is the graph depicting the relationship between the price of a certain commodity and the amount of it that consumers are willing and able to purchase at that given price.	Demand curve
982	The newest adopted symbol of Arizona is the Colt Single Action Army in 2011.	List of Arizona state symbols
983	"Arizona became the second state to adopt a ""state firearm"" after Utah adopted the Browning M1911 ."	List of Arizona state symbols
984	Eucharistic adoration is a practice in the Roman Catholic Church , and in a few Anglican and Lutheran churches, in which the Blessed Sacrament is exposed and adored by the faithful.	Eucharistic adoration
985	Systemic refers to something that is spread throughout, system-wide, affecting a group or system such as a body, economy, market or society as a whole.	Systemic
986	"A single-lens reflex (SLR) camera is a camera that typically uses a mirror and prism system (hence ""reflex"", from the mirror's reflection) that permits the photographer to view through the lens and see exactly what will be captured, contrary to viewfinder cameras where the image could be significantly different from what will be captured."	Single-lens reflex camera
987	A virtual machine (VM) is a software implemented abstraction of the underlying hardware , which is presented to the application layer of the system.	Virtual machine
988	Elephants are scattered throughout sub-Saharan Africa , and South and Southeast Asia .	Elephant
